,T0,T1,T2,C_2
T0,-0.83,-1.4,0.09,-0.48
T1,-0.18,-2.05,0.0,0.1
T2,-0.0,0.02,-2.21,0.22
C_2,0.33,0.0,-0.14,-1.61
