,T0,T1,T2,C_0
T0,-0.86,-1.1,-0.0,-0.35
T1,-0.23,-2.05,-0.0,0.22
T2,0.13,0.43,-2.11,-0.3
C_0,-0.53,-0.24,0.0,-1.65
