,T0,T1,T2,B_2
T0,-0.9,-0.94,-0.01,-0.0
T1,-0.34,-2.03,-0.25,0.32
T2,0.11,0.59,-2.12,-0.34
B_2,-0.4,0.02,0.34,-1.58
