,T0,T1,T2,E_2
T0,-0.99,-0.67,0.25,0.56
T1,-0.62,-1.97,-0.0,0.24
T2,-0.28,0.45,-2.07,0.22
E_2,-0.74,-0.84,0.0,-2.01
