,T0,T1,T2,D_0
T0,-0.94,-1.24,-0.1,0.35
T1,-0.31,-2.1,0.23,0.33
T2,0.21,0.28,-2.08,-0.34
D_0,-0.18,0.71,-0.05,-1.29
