,STK11 (M),KEAP1 (M),TERT/5p (Amp)
STK11 (M),-1.92,2.22,-0.76
KEAP1 (M),-0.0,-1.73,-1.85
TERT/5p (Amp),-1.23,-0.5,-0.45
