,T0,T1,T2,C_0
T0,-0.97,-0.0,-0.03,-0.48
T1,0.0,-1.91,0.4,0.52
T2,-0.0,0.0,-2.23,0.18
C_0,-0.01,0.0,0.0,-1.72
