,T0,T1,T2,A_0
T0,-0.76,-0.57,0.01,-0.0
T1,-0.65,-1.84,0.0,-0.17
T2,0.25,0.71,-2.22,-0.36
A_0,-0.16,-0.44,-0.76,-2.25
