,T0,T1,T2,D_0
T0,-0.79,-1.74,0.0,0.48
T1,-0.09,-1.97,0.01,-0.0
T2,0.28,0.58,-2.24,-0.0
D_0,-0.26,0.92,-0.11,-1.26
