,T0,T1,T2,B_1
T0,-0.74,-0.86,0.0,-0.0
T1,-0.45,-1.92,0.0,0.09
T2,0.31,0.66,-2.2,-0.13
B_1,-0.17,0.01,-0.67,0.04
