,T0,T1,T2,E_2
T0,-0.89,-0.23,-0.09,0.0
T1,-1.15,-1.53,-0.0,-0.44
T2,-0.25,0.77,-1.95,0.55
E_2,0.22,-0.1,0.0,-2.03
