,T0,T1,T2,B_1
T0,-0.77,-0.57,-0.19,-0.2
T1,-0.63,-1.64,0.0,0.0
T2,-0.0,0.61,-1.91,-0.01
B_1,-0.0,0.66,-0.1,0.08
