,T0,T1,T2,A_1
T0,-0.93,-0.51,0.1,0.34
T1,0.02,-1.83,0.0,-0.56
T2,-0.3,1.12,-2.2,-0.49
A_1,-0.59,-0.28,-1.15,-2.0
