,T0,T1,T2,B_2
T0,-0.83,-0.99,-0.1,-0.31
T1,0.28,-1.94,0.02,-0.05
T2,-0.02,1.1,-2.24,-0.48
B_2,-0.41,-0.03,-0.05,-1.55
