,T0,T1,T2,E_2
T0,-0.93,-0.27,-0.17,0.32
T1,-0.22,-1.87,0.66,-0.15
T2,-0.15,0.65,-2.23,0.46
E_2,-0.09,-0.3,-0.03,-2.04
