,T0,T1,T2,D_0
T0,-0.98,-0.98,-0.11,0.65
T1,-0.02,-2.08,0.61,0.65
T2,0.13,0.93,-2.11,-1.21
D_0,-0.4,0.33,-0.0,-1.22
