,T0,T1,T2,D_0
T0,-0.8,-0.52,-0.07,-0.0
T1,-0.45,-1.8,0.0,0.0
T2,-0.17,0.66,-1.93,0.04
D_0,0.32,1.31,0.01,-1.55
