,MAPK3/16p (Amp),MTOR (M),ARID1B (M)
MAPK3/16p (Amp),-1.02,-0.73,-1.54
MTOR (M),-0.97,-2.95,0.86
ARID1B (M),-1.39,0.0,-3.13
