,MAPK3/16p (Amp),MTOR (M),KMT2D (M)
MAPK3/16p (Amp),-0.97,-0.63,-1.79
MTOR (M),-0.79,-3.09,1.08
KMT2D (M),-1.79,0.0,-2.08
