,MAPK3/16p (Amp),MTOR (M),ASXL1 (M)
MAPK3/16p (Amp),-1.02,-0.91,-1.14
MTOR (M),-0.87,-2.91,-0.17
ASXL1 (M),-1.14,-0.15,-3.02
