,MAPK3/16p (Amp),MTOR (M),KDM5A (M)
MAPK3/16p (Amp),-1.02,-0.93,-1.46
MTOR (M),-0.76,-2.98,1.06
KDM5A (M),-1.73,0.0,-3.33
