,MAPK3/16p (Amp),MTOR (M),TGFBR2 (M)
MAPK3/16p (Amp),-1.0,-0.82,-1.94
MTOR (M),-0.92,-2.91,0.0
TGFBR2 (M),-1.96,0.0,-2.76
