,MAPK3/16p (Amp),MTOR (M),FBXW7/4q (Del)
MAPK3/16p (Amp),-0.94,-0.9,-0.5
MTOR (M),-0.86,-2.72,-1.22
FBXW7/4q (Del),-0.55,-1.23,-0.84
