,MAPK3/16p (Amp),MTOR (M),FBXW7 (M)
MAPK3/16p (Amp),-0.91,-0.78,-1.65
MTOR (M),-0.87,-2.92,-0.0
FBXW7 (M),-1.64,-0.0,-1.57
