,MAPK3/16p (Amp),MTOR (M),SMAD4 (M)
MAPK3/16p (Amp),-0.96,-0.92,-1.02
MTOR (M),-0.9,-2.85,-0.79
SMAD4 (M),-0.98,-0.77,-1.76
