,MAPK3/16p (Amp),MTOR (M),NOTCH1 (M)
MAPK3/16p (Amp),-1.02,-0.89,-1.28
MTOR (M),-0.81,-2.98,0.9
NOTCH1 (M),-1.43,0.0,-3.02
