,MAPK3/16p (Amp),MTOR (M),NF1 (M)
MAPK3/16p (Amp),-1.02,-0.9,-1.09
MTOR (M),-0.87,-2.92,-0.02
NF1 (M),-1.09,-0.01,-3.0
