,MAPK3/16p (Amp),MTOR (M),KMT2A (M)
MAPK3/16p (Amp),-1.02,-0.8,-1.48
MTOR (M),-0.86,-2.98,0.98
KMT2A (M),-1.52,0.0,-2.98
