,MAPK3/16p (Amp),MTOR (M),PIK3R1 (M)
MAPK3/16p (Amp),-1.02,-0.89,-0.91
MTOR (M),-0.88,-2.92,-0.0
PIK3R1 (M),-0.91,-0.0,-3.0
