,MAPK3/16p (Amp),MTOR (M),FLT3/13q (Amp)
MAPK3/16p (Amp),-1.11,-0.89,0.13
MTOR (M),-0.37,-2.45,-1.55
FLT3/13q (Amp),0.0,-1.61,0.23
