,MAPK3/16p (Amp),MTOR (M),KRAS (M)
MAPK3/16p (Amp),-0.68,-0.81,-1.31
MTOR (M),-0.92,-2.56,-1.21
KRAS (M),-0.57,-0.42,-0.15
