,MAPK3/16p (Amp),MTOR (M),KMT2C (M)
MAPK3/16p (Amp),-1.01,-0.81,-1.33
MTOR (M),-0.9,-2.94,0.41
KMT2C (M),-1.33,0.0,-2.77
