,MAPK3/16p (Amp),MTOR (M),ARID1A (M)
MAPK3/16p (Amp),-0.95,-0.76,-1.46
MTOR (M),-0.91,-2.92,0.05
ARID1A (M),-1.45,0.01,-1.87
