,MAPK3/16p (Amp),MTOR (M),AXIN2 (M)
MAPK3/16p (Amp),-1.02,-0.86,-1.21
MTOR (M),-0.9,-2.92,0.0
AXIN2 (M),-1.23,0.0,-3.02
