,MAPK3/16p (Amp),MTOR (M),PTPRS (M)
MAPK3/16p (Amp),-0.98,-0.85,-1.43
MTOR (M),-0.88,-2.92,-0.0
PTPRS (M),-1.43,-0.0,-2.25
