,MAPK3/16p (Amp),MTOR (M),AMER1 (M)
MAPK3/16p (Amp),-1.01,-0.79,-0.82
MTOR (M),-0.95,-2.91,0.0
AMER1 (M),-0.55,0.43,-2.55
