,MAPK3/16p (Amp),MTOR (M),B2M/15q (Del)
MAPK3/16p (Amp),-0.93,-0.87,-0.6
MTOR (M),-0.89,-2.76,-0.91
B2M/15q (Del),-0.61,-0.89,-0.91
