,MAPK3/16p (Amp),MTOR (M),SMARCA4 (M)
MAPK3/16p (Amp),-1.01,-0.91,-1.58
MTOR (M),-0.85,-2.92,-0.0
SMARCA4 (M),-1.59,-0.0,-2.91
