,MAPK3/16p (Amp),MTOR (M),NCOR1 (M)
MAPK3/16p (Amp),-1.02,-0.84,-1.64
MTOR (M),-0.92,-2.91,0.01
NCOR1 (M),-1.67,0.01,-3.3
