,MAPK3/16p (Amp),MTOR (M),RNF43 (M)
MAPK3/16p (Amp),-0.94,-0.72,-1.97
MTOR (M),-0.86,-2.97,0.38
RNF43 (M),-2.15,0.0,-1.88
