,MAPK3/16p (Amp),MTOR (M),MSH6 (M)
MAPK3/16p (Amp),-1.0,-0.83,-2.03
MTOR (M),-0.9,-2.92,0.18
MSH6 (M),-2.14,0.0,-2.88
