,MAPK3/16p (Amp),MTOR (M),PTPRT (M)
MAPK3/16p (Amp),-1.0,-0.92,-1.6
MTOR (M),-0.86,-2.91,-0.21
PTPRT (M),-1.59,-0.17,-2.81
