,MAPK3/16p (Amp),MTOR (M),CREBBP (M)
MAPK3/16p (Amp),-1.0,-0.81,-1.66
MTOR (M),-0.92,-2.92,0.1
CREBBP (M),-1.69,0.0,-2.73
