,MAPK3/16p (Amp),MTOR (M),BRAF (M)
MAPK3/16p (Amp),-0.92,-0.78,-1.76
MTOR (M),-0.87,-2.92,-0.0
BRAF (M),-1.75,-0.0,-1.64
