,MAPK3/16p (Amp),MTOR (M),SMAD4/18q (Del)
MAPK3/16p (Amp),-1.04,-1.09,-0.0
MTOR (M),-0.33,-2.37,-1.54
SMAD4/18q (Del),-0.44,-2.13,0.54
