,MAPK3/16p (Amp),MTOR (M),ASXL1/20q (Amp)
MAPK3/16p (Amp),-1.18,-0.86,0.21
MTOR (M),-0.24,-2.27,-1.74
ASXL1/20q (Amp),0.0,-1.65,0.66
