,MAPK3/16p (Amp),MTOR (M),TP53 (M)
MAPK3/16p (Amp),-1.04,-1.01,-0.0
MTOR (M),-0.16,-2.0,-2.42
TP53 (M),-0.58,-1.43,0.99
