,MAPK3/16p (Amp),MTOR (M),CARD11 (M)
MAPK3/16p (Amp),-1.03,-0.88,-0.82
MTOR (M),-0.89,-2.92,0.02
CARD11 (M),-0.84,0.03,-3.19
