,MAPK3/16p (Amp),MTOR (M),PTEN (M)
MAPK3/16p (Amp),-1.01,-0.87,-0.85
MTOR (M),-0.89,-2.92,-0.0
PTEN (M),-0.84,-0.0,-2.59
