,MAPK3/16p (Amp),MTOR (M),PRKD1/14q (Del)
MAPK3/16p (Amp),-1.01,-0.81,-0.23
MTOR (M),-0.94,-2.77,-0.9
PRKD1/14q (Del),-0.75,-1.23,-1.05
