,MAPK3/16p (Amp),MTOR (M),ARID1A/1p (Del)
MAPK3/16p (Amp),-0.88,-0.93,-0.82
MTOR (M),-0.92,-2.7,-1.25
ARID1A/1p (Del),-0.88,-1.25,-0.79
