,MAPK3/16p (Amp),MTOR (M),CTNNB1 (M)
MAPK3/16p (Amp),-1.0,-0.87,-0.99
MTOR (M),-0.88,-2.92,-0.02
CTNNB1 (M),-0.97,-0.03,-2.32
