,MAPK3/16p (Amp),MTOR (M),CASP8 (M)
MAPK3/16p (Amp),-1.02,-0.83,-1.55
MTOR (M),-0.87,-2.95,0.64
CASP8 (M),-1.61,0.0,-3.11
