,MAPK3/16p (Amp),MTOR (M),NOTCH3 (M)
MAPK3/16p (Amp),-1.01,-0.84,-1.6
MTOR (M),-0.87,-2.94,0.33
NOTCH3 (M),-1.72,0.0,-2.83
