,T0,T1,T2,B_0
T0,-0.95,-0.52,-0.05,-0.33
T1,-0.44,-1.86,0.29,0.64
T2,-0.33,0.75,-2.04,-0.59
B_0,0.2,0.01,0.0,-1.68
