,T0,T1,T2,E_3
T0,-1.02,-0.49,-0.1,0.35
T1,-0.47,-1.78,0.49,0.1
T2,-0.43,0.48,-2.11,0.49
E_3,-1.07,-0.47,-0.5,-1.81
