,T0,T1,T2,D_0
T0,-0.99,-1.04,-0.35,0.35
T1,-0.24,-1.97,0.5,0.71
T2,0.02,0.65,-2.04,-0.89
D_0,-0.27,0.57,0.0,-1.38
