,T0,T1,T2,C_0
T0,-0.91,-0.51,-0.28,-0.5
T1,-0.35,-1.8,0.48,0.07
T2,-0.14,0.49,-2.1,-0.06
C_0,-0.77,-0.14,-0.2,-1.57
