,SMAD4 (M),PIK3CA (M),MET (M),TP53 (M)
SMAD4 (M),-3.15,-0.03,-0.15,-0.69
PIK3CA (M),-0.03,-2.64,-0.21,-0.73
MET (M),-0.08,-0.19,-2.8,-1.08
TP53 (M),-0.66,-0.76,-1.04,-0.24
