,SMAD4 (M),PIK3CA (M),MET (M),KRAS (M)
SMAD4 (M),-3.19,-0.02,-0.23,-0.75
PIK3CA (M),-0.04,-2.75,-0.26,-0.45
MET (M),-0.12,-0.13,-2.79,-1.86
KRAS (M),-0.8,-0.71,-1.96,-0.58
