,SMAD4 (M),PIK3CA (M),MET (M),ATRX (M)
SMAD4 (M),-3.38,-0.08,-0.11,-0.19
PIK3CA (M),-0.03,-2.88,-0.17,-0.0
MET (M),-0.11,-0.21,-3.12,-0.45
ATRX (M),-0.18,-0.0,-0.45,-3.48
