,SMAD4 (M),PIK3CA (M),MET (M),MYC/8q (Amp)
SMAD4 (M),-3.32,-0.05,-0.11,-0.25
PIK3CA (M),-0.01,-2.72,-0.22,-0.66
MET (M),-0.02,-0.19,-2.88,-1.31
MYC/8q (Amp),-0.34,-0.59,-1.19,-0.75
