,SMAD4 (M),PIK3CA (M),MET (M),ATM (M)
SMAD4 (M),-3.35,-0.07,-0.12,-0.9
PIK3CA (M),-0.05,-2.86,-0.19,-0.53
MET (M),-0.11,-0.2,-3.11,-0.55
ATM (M),-0.89,-0.56,-0.57,-2.74
