,SMAD4 (M),PIK3CA (M),MET (M),null
SMAD4 (M),-3.39,-0.07,-0.12,0.0
PIK3CA (M),-0.06,-2.88,-0.2,0.0
MET (M),-0.12,-0.2,-3.13,0.0
null,0.0,0.0,0.0,0.0
